Approved Symbol	Approved Name	Previous Symbols	Synonyms	Entrez Gene ID	RefSeq IDs
ABHD8	abhydrolase domain containing 8		FLJ11743, MGC14280, MGC2512	79575	NM_024527
ABHD10	abhydrolase domain containing 10		FLJ11342	55347	NM_018394
ABHD11	abhydrolase domain containing 11	WBSCR21	PP1226	83451	
ABHD11-AS1	ABHD11 antisense RNA 1 (tail to tail)	WBSCR26, LINC00035	NCRNA00035	171022	NR_026690
ABHD11-AS2~withdrawn	entry withdrawn				
ABHD12	abhydrolase domain containing 12	C20orf22	DKFZP434P106, dJ965G21.2, BEM46L2, ABHD12A	26090	NM_015600
ABHD12B	abhydrolase domain containing 12B	C14orf29	BEM46L3	145447	
ABHD13	abhydrolase domain containing 13	C13orf6	bA153I24.2, FLJ14906, BEM46L1	84945	NM_032859
ABHD14A	abhydrolase domain containing 14A		DKFZP564O243, DORZ1	25864	NM_015407
ABHD14A-ACY1	ABHD14A-ACY1 readthrough			100526760	
ABHD14B	abhydrolase domain containing 14B		MGC15429, CIB	84836	NM_032750
ABHD15	abhydrolase domain containing 15			116236	NM_198147
ABHD15-AS1	ABHD15 antisense RNA 1		linc-TP53I13, lnc-TP53I13		
ABHD16A	abhydrolase domain containing 16A	BAT5	NG26, D6S82E	7920	
ABHD16B	abhydrolase domain containing 16B	C20orf135	dJ591C20.1	140701	
ABHD17A	abhydrolase domain containing 17A	C19orf27, FAM108A1	MGC5244	81926	NM_031213
ABHD17AP1	abhydrolase domain containing 17A pseudogene 1	FAM108A2, ABHD17AP2, FAM108A3, FAM108A11P, FAM108A3P	C1orf47	728917	NG_011738
ABHD17AP2~withdrawn	symbol withdrawn, see ABHD17AP1				
ABHD17AP3	abhydrolase domain containing 17A pseudogene 3	FAM108A4, FAM108A4P		648359	XR_041784
ABHD17AP4	abhydrolase domain containing 17A pseudogene P4	FAM108A5, FAM108A5P		729495	
ABHD17AP5	abhydrolase domain containing 17A pseudogene 5	FAM108A6, FAM108A6P		91219	
ABHD17AP6	abhydrolase domain containing 17A pseudogene 6	FAM108A7P		644988	
ABHD17AP7	abhydrolase domain containing 17A pseudogene 7	FAM108A8P		100133212	
ABHD17AP8	abhydrolase domain containing 17A pseudogene 8	FAM108A9P		647144	
ABHD17AP9	abhydrolase domain containing 17A pseudogene 9	FAM108A10P		100132251	
ABHD17B	abhydrolase domain containing 17B	C9orf77, FAM108B1	CGI-67	51104	NM_016014
ABHD17C	abhydrolase domain containing 17C	FAM108C1		58489	NM_021214
ABHD18	abhydrolase domain containing 18	C4orf29	FLJ21106	80167	NM_001039717
ABI1	abl interactor 1	SSH3BP1	E3B1, ABI-1	10006	NM_005470
ABI1P1	abl interactor 1 pseudogene 1	SSH3BP1P, ABI1P		326268	NG_002531
ABI2	abl interactor 2		ABI-2, AIP-1, ABI2B, AblBP3, argBPIA, SSH3BP2	10152	NM_005759
ABI3	ABI family member 3		NESH, SSH3BP3	51225	NM_016428
ABI3BP	ABI family member 3 binding protein		NESHBP, DKFZP586L2024, TARSH	25890	
ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	ABL	JTK7, c-ABL, p150	25	NM_007313
ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	ABLL	ARG	27	NM_005158
ABLIM1	actin binding LIM protein 1	LIMAB1, ABLIM	abLIM, limatin	3983	
ABLIM2	actin binding LIM protein family member 2		KIAA1808	84448	NM_001130083
ABLIM3	actin binding LIM protein family member 3		KIAA0843	22885	NM_014945
ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase		A3GALNT, A3GALT1	28	NM_020469
ABR	ABR, RhoGEF and GTPase activating protein		MDB	29	
ABRA	actin binding Rho activating protein		STARS	137735	NM_139166
ABRACL	ABRA C-terminal like	C6orf115	PRO2013, HSPC280, Costars	58527	NM_021243
ABRAXAS1	abraxas 1, BRCA1 A complex subunit	CCDC98, FAM175A	FLJ13614, ABRA1, ABRAXAS	84142	NM_139076
ABRAXAS2	abraxas 2, BRISC complex subunit	KIAA0157, FAM175B	Em:AC068896.4, ABRO1	23172	NM_032182
ABT1	activator of basal transcription 1		Esf2	29777	
ABT1P1	activator of basal transcription 1 pseudogene 1			100420695	NG_025142
ABTB1	ankyrin repeat and BTB domain containing 1		BPOZ, EF1ABP, Btb3, BTBD21	80325	NM_172027
ABTB2	ankyrin repeat and BTB domain containing 2		DKFZP586C1619, BTBD22, ABTB2A	25841	NM_145804
ACAA1	acetyl-CoA acyltransferase 1			30	NM_001607
ACAA2	acetyl-CoA acyltransferase 2		DSAEC	10449	NM_006111
ACACA	acetyl-CoA carboxylase alpha	ACAC, ACC	ACC1	31	NM_198836
ACACB	acetyl-CoA carboxylase beta		HACC275, ACC2, ACCB	32	NM_001093
ACAD~withdrawn	entry withdrawn				
ACAD8	acyl-CoA dehydrogenase family member 8			27034	NM_014384
ACAD9	acyl-CoA dehydrogenase family member 9		NPD002, MGC14452	28976	NM_014049
ACAD10	acyl-CoA dehydrogenase family member 10		MGC5601	80724	NM_025247
ACAD11	acyl-CoA dehydrogenase family member 11		FLJ12592	84129	NM_032169
ACADL	acyl-CoA dehydrogenase long chain		LCAD, ACAD4	33	NM_001608
ACADM	acyl-CoA dehydrogenase medium chain		MCAD, MCADH, ACAD1	34	
ACADS	acyl-CoA dehydrogenase short chain		SCAD, ACAD3	35	NM_000017
ACADSB	acyl-CoA dehydrogenase short/branched chain		SBCAD, ACAD7	36	NM_001609
ACADVL	acyl-CoA dehydrogenase very long chain		VLCAD, LCACD, ACAD6	37	NM_000018
ACAN	aggrecan	MSK16, CSPG1, AGC1	CSPGCP	176	NM_001135
ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	CENTB1	KIAA0050	9744	NM_014716
ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	CENTB2	KIAA0041, CNT-B2	23527	NM_012287
ACAP2-IT1	ACAP2 intronic transcript 1				
ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	CENTB5	KIAA1716	116983	NM_030649
ACAT1	acetyl-CoA acetyltransferase 1	ACAT	THIL	38	NM_000019
ACAT2	acetyl-CoA acetyltransferase 2			39	NM_005891
ACBD3	acyl-CoA binding domain containing 3	GOLPH1, GOCAP1	GCP60, PAP7	64746	NM_022735
ACBD3-AS1	ACBD3 antisense RNA 1		RP11-275I14.4	107985353	NR_146443
ACBD4	acyl-CoA binding domain containing 4		FLJ13322	79777	NM_024722
ACBD5	acyl-CoA binding domain containing 5		DKFZp434A2417, KIAA1996	91452	NM_145698
ACBD6	acyl-CoA binding domain containing 6		MGC2404	84320	NM_032360
ACBD7	acyl-CoA binding domain containing 7		FLJ38219, bA455B2.2	414149	
ACBP~withdrawn	symbol withdrawn, see CPN2				
ACC~withdrawn	symbol withdrawn, see ACACA				
ACCN~withdrawn	symbol withdrawn, see ASIC2				
ACCPN~withdrawn	symbol withdrawn, see SLC12A6				
ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)		PHACS, ACS	84680	NM_032592
ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like			390110	NM_001031854
ACD	ACD, shelterin complex subunit and telomerase recruitment factor		Ptop, Pip1, Tpp1, Tint1	65057	NM_022914
ACE	angiotensin I converting enzyme	DCP1	ACE1, CD143	1636	NM_000789
ACE2	angiotensin I converting enzyme 2			59272	
ACE3P	angiotensin I converting enzyme 3, pseudogene			100129123	
ACER1	alkaline ceramidase 1	ASAH3		125981	NM_133492
ACER2	alkaline ceramidase 2	ASAH3L	FLJ41587, ALKCDase2	340485	NM_001010887
ACER3	alkaline ceramidase 3	PHCA	FLJ11238, APHC	55331	NM_018367
ACH~withdrawn	symbol withdrawn, see FGFR3				
ACHAP~withdrawn	symbol withdrawn, see CUTA				
ACHE	acetylcholinesterase (Cartwright blood group)	YT		43	NM_015831
ACHM1~withdrawn	symbol withdrawn, see CNGB3				
ACHM2~withdrawn	symbol withdrawn, see CNGA3				
ACHM3~withdrawn	symbol withdrawn, see CNGB3				
ACHRD~withdrawn	symbol withdrawn, see CHRND				
ACHRG~withdrawn	symbol withdrawn, see CHRNG				
ACIN1	apoptotic chromatin condensation inducer 1	ACINUS	KIAA0670, fSAP152	22985	NM_014977
ACKR1	atypical chemokine receptor 1 (Duffy blood group)	FY, DARC	CCBP1, GPD, Dfy, CD234	2532	NM_002036
ACKR2	atypical chemokine receptor 2	CMKBR9, CCBP2	CCR10, D6, CCR9	1238	NM_001296
ACKR3	atypical chemokine receptor 3	CMKOR1, CXCR7	RDC1, GPR159	57007	NM_020311
ACKR4	atypical chemokine receptor 4	CCRL1	CCR11, CCBP2, VSHK1, CCX-CKR, PPR1	51554	NM_016557
ACLS	acrocallosal syndrome			46	
ACLY	ATP citrate lyase		ATPCL, CLATP, ACL	47	NM_001096
ACMG~withdrawn	entry withdrawn				
ACMSD	aminocarboxymuconate semialdehyde decarboxylase			130013	
ACNATP	acyl-CoA:amino acid N-acyltransferase pseudogene	BAATP1		347275	
ACO1	aconitase 1	IREB1	IRP1, IREBP	48	NM_002197
ACO2	aconitase 2		ACONM	50	NM_001098
ACOD1	aconitate decarboxylase 1	IRG1	CAD	730249	NM_001258406
ACOT1	acyl-CoA thioesterase 1		ACH2, CTE-1, LACH2	641371	NM_001037161
ACOT2	acyl-CoA thioesterase 2		Mte1, ZAP128	10965	NM_006821
ACOT4	acyl-CoA thioesterase 4		FLJ31235, PTE-Ib, PTE2B	122970	NM_152331
ACOT6	acyl-CoA thioesterase 6	C14orf42		641372	NM_001037162
ACOT7	acyl-CoA thioesterase 7		BACH, ACH1, ACT, CTE-II, LACH1, MGC1126, hBACH	11332	NM_007274
ACOT8	acyl-CoA thioesterase 8	PTE1	hACTE-III, hTE, PTE-2, NAP1	10005	NM_183386
ACOT9	acyl-CoA thioesterase 9		CGI-16, MT-ACT48, ACATE2	23597	NM_012332
ACOT11	acyl-CoA thioesterase 11	THEA	STARD14, BFIT, KIAA0707, BFIT1, THEM1	26027	NM_015547
ACOT12	acyl-CoA thioesterase 12		Cach, THEAL, STARD15	134526	NM_130767
ACOT13	acyl-CoA thioesterase 13	THEM2	HT012	55856	NM_018473
ACOX1	acyl-CoA oxidase 1		PALMCOX	51	
ACOX2	acyl-CoA oxidase 2		BRCACOX, BRCOX, THCCox	8309	NM_003500
ACOX3	acyl-CoA oxidase 3, pristanoyl			8310	
ACOXL	acyl-CoA oxidase like		FLJ11042	55289	NM_018308
ACOXL-AS1	ACOXL antisense RNA 1			400997	NR_122074
ACP1	acid phosphatase 1		HAAP, LMW-PTP, LMWPTP	52	NM_004300
ACP2	acid phosphatase 2, lysosomal		LAP	53	NM_001610
ACP4	acid phosphatase 4	ACPT		93650	NM_033068
ACP5	acid phosphatase 5, tartrate resistant		TRAP, HPAP	54	
ACP6	acid phosphatase 6, lysophosphatidic		LPAP, ACPL1	51205	NM_016361
ACP7	acid phosphatase 7, tartrate resistant (putative)		FLJ16165, PAPL1, PAPL	390928	NM_001004318
ACPP	acid phosphatase, prostate		ACP3, ACP-3, PAP	55	NM_001099
ACR	acrosin			49	NM_001097
ACRBP	acrosin binding protein		SP32, OY-TES-1, CT23	84519	NM_032489
ACRV1	acrosomal vesicle protein 1		SPACA2, SP-10, D11S4365	56	NM_001612
ACS3~withdrawn	symbol withdrawn, see TWIST1				
ACSBG1	acyl-CoA synthetase bubblegum family member 1		BGM, FLJ30320, MGC14352, BG1, KIAA0631, hBG1, hsBG	23205	NM_015162
ACSBG2	acyl-CoA synthetase bubblegum family member 2		BGR, PRTD-NY3, DKFZp434K1635	81616	NM_030924
ACSF2	acyl-CoA synthetase family member 2		FLJ20920, ACSMW	80221	NM_025149
ACSF3	acyl-CoA synthetase family member 3			197322	NM_174917
ACSL1	acyl-CoA synthetase long chain family member 1	FACL2	LACS2, LACS, ACS1, LACS1, FACL1	2180	NM_001995
ACSL3	acyl-CoA synthetase long chain family member 3	FACL3	ACS3, PRO2194	2181	NM_004457
ACSL4	acyl-CoA synthetase long chain family member 4	FACL4, MRX63, MRX68	ACS4, LACS4	2182	NM_004458
ACSL5	acyl-CoA synthetase long chain family member 5	FACL5	ACS5, ACS2	51703	NM_016234
ACSL6	acyl-CoA synthetase long chain family member 6	FACL6	KIAA0837, ACS2, LACS5, LACS2	23305	NM_015256
ACSM1	acyl-CoA synthetase medium chain family member 1	BUCS1	MACS1	116285	NM_052956
ACSM2A	acyl-CoA synthetase medium chain family member 2A	ACSM2	A-923A4.1, MGC150530	123876	NM_001010845
ACSM2B	acyl-CoA synthetase medium chain family member 2B	ACSM2	HXMA, HYST1046	348158	NM_182617
ACSM3	acyl-CoA synthetase medium chain family member 3	SAH	SA	6296	NM_005622
ACSM4	acyl-CoA synthetase medium chain family member 4			341392	NM_001080454
ACSM5	acyl-CoA synthetase medium chain family member 5		FLJ20581	54988	NM_017888
ACSM5P1	acyl-CoA synthetase medium chain family member 5 pseudogene 1			100421779	NG_026352
ACSM6	acyl-CoA synthetase medium chain family member 6	C10orf129	bA310E22.3	142827	NM_207321
ACSS1	acyl-CoA synthetase short chain family member 1	ACAS2L	dJ568C11.3, AceCS2L, MGC33843	84532	NM_032501
ACSS2	acyl-CoA synthetase short chain family member 2	ACAS2	ACS, ACSA, AceCS, dJ1161H23.1	55902	NM_018677
ACSS3	acyl-CoA synthetase short chain family member 3		FLJ21963	79611	NM_024560
ACTA1	actin, alpha 1, skeletal muscle	ACTA	NEM3	58	NM_001100
ACTA2	actin, alpha 2, smooth muscle, aorta		ACTSA	59	NM_001613
ACTA2-AS1	ACTA2 antisense RNA 1		uc001kfo.1, ZXF1, UC001kfo	100132116	NR_125373
ACTA3~withdrawn	symbol withdrawn, see ACTG2				
ACTB	actin beta			60	NM_001101
ACTBL2	actin, beta like 2		DKFZp686D0972	345651	NM_001017992
ACTBP1	actin, beta pseudogene 1			643309	NG_022596
ACTBP2	actin, beta pseudogene 2			62	NG_003019
ACTBP3	actin, beta pseudogene 3			63	
ACTBP4	actin, beta pseudogene 4			64	
ACTBP5~withdrawn	entry withdrawn				
ACTBP6	actin, beta pseudogene 6			66	NG_008793
ACTBP7	actin, beta pseudogene 7			67	
ACTBP8	actin, beta pseudogene 8		ACTBP2	68	NG_000840
ACTBP9	actin, beta pseudogene 9			69	NG_003162
ACTBP10	actin, beta pseudogene 10			446207	
ACTBP11	actin, beta pseudogene 11			644220	
ACTBP12	actin, beta pseudogene 12	ACTGP5		100462767	NG_026958
ACTBP13	actin, beta pseudogene 13			389120	
ACTBP14	actin, beta pseudogene 14			389976	NG_022182
ACTC1	actin, alpha, cardiac muscle 1	ACTC	CMD1R	70	NM_005159
ACTG1	actin gamma 1	ACTG, DFNA20, DFNA26		71	NM_001614
ACTG1P1	actin gamma 1 pseudogene 1	ACTGP1, ACT1GP1		73	NG_001068
ACTG1P2	actin gamma 1 pseudogene 2	ACTL2, ACTGP2		74	NG_004636
ACTG1P3	actin gamma 1 pseudogene 3	ACTGP3		75	NG_000842
ACTG1P4	actin gamma 1 pseudogene 4	ACTGP4		648740	
ACTG1P6	actin gamma 1 pseudogene 6	ACTGP6		78	
ACTG1P7	actin gamma 1 pseudogene 7	ACTGP7		79	
ACTG1P8	actin gamma 1 pseudogene 8	ACTGP8		80	
ACTG1P9	actin gamma 1 pseudogene 9	ACTGP9		82	NG_001069
ACTG1P10	actin gamma 1 pseudogene 10	ACTL1, ACTGP10		83	NG_003039
ACTG1P11	actin gamma 1 pseudogene 11			414754	NG_004636
ACTG1P12	actin gamma 1 pseudogene 12			100418921	
ACTG1P13	actin gamma 1 pseudogene 13			100418920	
ACTG1P14	actin gamma 1 pseudogene 14			100418910	NG_023870
ACTG1P15	actin gamma 1 pseudogene 15			100418951	
ACTG1P16	actin gamma 1 pseudogene 16			100418960	
ACTG1P17	actin gamma 1 pseudogene 17			283693	
ACTG1P18	actin gamma 1 pseudogene 18			100418924	
ACTG1P19	actin gamma 1 pseudogene 19			644160	
ACTG1P20	actin gamma 1 pseudogene 20			644961	
ACTG1P21	actin gamma 1 pseudogene 21			100131291	
ACTG1P22	actin gamma 1 pseudogene 22			100131953	
ACTG1P23	actin gamma 1 pseudogene 23			442097	
ACTG1P24	actin gamma 1 pseudogene 24	POTENP		441783	
ACTG2	actin, gamma 2, smooth muscle, enteric	ACTL3, ACTA3	ACTSG	72	NM_001615
ACTL2~withdrawn	symbol withdrawn, see ACTG1P2				
ACTL3~withdrawn	symbol withdrawn, see ACTG2				
ACTL4~withdrawn	entry withdrawn				
ACTL5~withdrawn	entry withdrawn				
ACTL6A	actin like 6A		Actl6, BAF53A, Arp4, Baf53a, INO80K	86	NM_004301
ACTL6B	actin like 6B	ACTL6	BAF53B	51412	NM_016188
ACTL7A	actin like 7A			10881	NM_006687
ACTL7B	actin like 7B		Tact1	10880	NM_006686
ACTL8	actin like 8		CT57	81569	NM_030812
